Geo Point;Geo Shape;Código;Nombre;Categoria;Actividad;Dirección;Teléfono;Pagina web
4.669792653000059,-74.1072401959999;"{""coordinates"": [-74.1072401959999, 4.669792653000059], ""type"": ""Point""}";01020168;Tienda Locatel;1;2;CL 52 BIS 71 C 03;5082044;www.locatelcolombia.com
4.679339366000079,-74.04481547599993;"{""coordinates"": [-74.04481547599993, 4.679339366000079], ""type"": ""Point""}";01020173;Tienda Farmatodo;1;2;CL 96 10 72;7432100;www.farmatodo.com.co
4.723045272000093,-74.06434341399995;"{""coordinates"": [-74.06434341399995, 4.723045272000093], ""type"": ""Point""}";01020178;Tienda Locatel;1;2;KR 57 134 30;;www.locatelcolombia.com
4.662459360000071,-74.13402553999993;"{""coordinates"": [-74.13402553999993, 4.662459360000071], ""type"": ""Point""}";01020197;Almacén Tugo;1;2;CL 19A 86 31;2405880;www.tugo.co
4.586664633000055,-74.1108633199999;"{""coordinates"": [-74.1108633199999, 4.586664633000055], ""type"": ""Point""}";01020199;Almacén Éxito;1;2;CL 27 S 26 24;713 9880;www.exito.com
4.700531,-74.029037;"{""coordinates"": [-74.029037, 4.700531], ""type"": ""Point""}";01020208;Tienda Ktronix;1;2;AK 7 124 97;;www.ktronix.com
4.607221417000061,-74.0832351919999;"{""coordinates"": [-74.0832351919999, 4.607221417000061], ""type"": ""Point""}";02040001;Estación de La Sabana;2;4;;;
4.690720078000084,-74.0378237459999;"{""coordinates"": [-74.0378237459999, 4.690720078000084], ""type"": ""Point""}";02040002;Estación de Usaquén;2;4;;;
4.5575781910000615,-74.13599623699992;"{""coordinates"": [-74.13599623699992, 4.5575781910000615], ""type"": ""Point""}";03070004;Parque Meissen;3;7;;;
4.596581661000073,-74.16374728399995;"{""coordinates"": [-74.16374728399995, 4.596581661000073], ""type"": ""Point""}";03070020;Parque Pavco - Autopista Sur;3;7;;;
4.642584319000093,-74.18089331899995;"{""coordinates"": [-74.18089331899995, 4.642584319000093], ""type"": ""Point""}";03070040;Parque El Porvenir (Gibraltar);3;7;;;
